,caseNumber,gender,age,activity
2330,1995.11.25.b,M,,
2331,1995.11.25.a,M,,Fell off aircraft carrier
2332,1995.11.17,M,,
2333,1995.10.28.R,M,13,Boogie boarding
2334,1995.10.21,M,17,Surfing
2335,1995.10.11,F,15,Playing / standing
2336,1995.10.01,M,39,Surfing
2337,1995.09.30.b,M,14,Surfing
2338,1995.09.30.a,M,17,Surfing
2339,1995.09.28,M,25,Windsurfing
2340,1995.09.19.,M,19,Surfing
2341,1995.09.17,F,19,Swimming
2342,1995.09.16,M,,Body-boarding
2343,1995.09.13,M,25,Scuba diving
2344,1995.09.11,M,29,Abalone diving using Hookah (near calving whales)
2345,1995.09.03.b,M,32,Abalone diving using Hookah (resting on the surface)
2346,1995.09.03.a,M,9,Swimming
2347,1995.08.31.b,M,19,Surfing
2348,1995.08.31.a,M,44,On a float
2349,1995.08.27,M,,Surfing
2350,1995.08.26/b,M,16,Surfing
2351,1995.08.26.a,M,18,Surfing
2352,1995.08.25,M,16,Swimming
2353,1995.08.22.c,M,23,Swimming 
2354,1995.08.22.a,M,19,Surfing
2355,1995.08.21,,,Diving
2356,1995.08.19,M,18,Fishing
2357,1995.08.15,M,20,Wading
2358,1995.08.13.a,M,15,Swimming
2359,1995.08.10.b,M,20,Surfing
2360,1995.08.10.a,F,14,"""Riding waves on a board"""
2361,1995.08.07,M,12,Body boarding
2362,1995.08.01,M,,Fishing
2363,1995.08.00,M,,Diving
2364,1995.07.28.e,M,,Surfing
2365,1995.07.28.d,M,,Surfing
2366,1995.07.28.c,M,18,Surfing
2367,1995.07.28.b,M,18,Standing
2368,1995.07.28.a,M,12,
2369,1995.07.24,F,7,Swimming
2370,1995.07.23,M,47,Body boarding
2371,1995.07.07,M,18,Surfing
2372,1984.11.08,M,14,Surfing
2373,1995.07.06,M,34,Surfing
2374,1995.07.03,F,32,Fishing
2375,1995.07.00,M,,Jumped off surfboard & landed on the shark
2376,1995.06.30,M,31,Scuba diving (ascending using scooter)
2377,1995.06.24,F,,Kayaking
2378,1995.06.23,M,13,Playing / jumping
2379,1995.06.17.b,M,,Surfing
2380,1995.06.17.a,M,45,Swimming
2381,1995.06.16,F,10,Swimming
2382,1995.06.14,M,38,Swimming
2383,1995.06.13,F,45,Swimming
2384,1995.06.02,M,29,Swimming
2385,1995.05.31,,44,Diving
2386,1995.05.26,M,15,Surfing
2387,1995.05.24,M,69,Sleeping in anchored boat
2388,1995.05.18,,,
2389,1995.05.12,F,44,Diving for abalone
2390,1995.04.16,M,12,
2391,1995.04.13,M,20,
2392,1995.04.09.b,M,,Diving
2393,1995.04.09.a,M,47,Scuba diving for bivalves
2394,1995.03.21,F,,Surf skiing
2395,1995.03.11,M,35,Surfing
2396,1995.03.05,,,Swimming
2397,1995.02.19,M,22,Swimming
2398,1995.02.00,M,,Wind surfing
2399,1995.01.24,M,14,Swimming
2400,1995.01.02,M,17,Surfing
2401,1995.00.00.e,M,33,Diving
2402,1995.00.00.d,M,,Snorkeling
2403,1995.00.00.c,M,,Scuba diving
2404,1995.00.00.b,M,,
2405,1994.12.30,M,26,Body boarding
2406,1994.12.18,,,"Surfing, sitting on board"
2407,1994.12.13,M,,Surfing
2408,1994.12.11,M,,Surfing
2409,1994.12.10,,,
2410,1994.12.09.b,M,44,Murder victim
2411,1994.12.09.a,M,42,Commercial diver (submerged or treading water)
2412,1994.12.01,M,,Surfing
2413,1994.11.25.a,M,,Spearfishing
2414,1994.11.13,F,34,"Surfing, paddling seawards"
2415,1994.11.06.a,,,Surfing
2416,1994.10.18,,,Surfing
2417,1994.10.17,M,,Surfing
2418,1994.10.08,F,9,Wading
2419,1994.10.05,M,16,Surfing
2420,1994.09.26,F,30,Swimming
2421,1994.09.21,M,43,Surfing
2422,1994.09.11.R,M,7      &    31,Adrift on refugee raft
2423,1994.09.05,F,12,Jumped off rocks into white water
2424,1994.08.22,,,
2425,1994.07.24,M,15,Surfing
2426,1994.07.09.d,M,,Swimming
2427,1994.07.09.c,M,24,Windsurfing
2428,1994.07.09.b,M,22,Surfing
2429,1994.07.09.a,M,31,Surfing
2430,1994.07.08.b,M,,Surfing
2431,1994.07.08.a,M,15,Surfing
2432,1994.06.24,M,30,Spearfishing
2433,1994.05.31.b,M,24,Surfing
2434,1994.05.31.a,M, 28,Surfing
2435,1994.05.28,M,35,Spearfishing
2436,1994.05.24,F,36,Wading
2437,1994.05.23,M,26,Wading
2438,1994.05.15,M,22,Surfing
2439,1994.04.16,F,25,
2440,1994.04.15,,,
2441,1994.04.06,M,20?,Wading
2442,1994.04.03,M,71,Freediving for seashells
2443,1994.04.02,M,,Spearfishing
2444,1994.03.23.b,F,19,Swimming alongside NOAA research vessel Discoverer
2445,1994.03.23.a,M,,Swimming alongside NOAA research vessel Discoverer
2446,1994.03.07,M,33,Removing shark from tank in nightclub 
